date,price
11-03-2022 00:00,40855.088
12-03-2022 00:00,40698.575
13-03-2022 00:00,40510.033
14-03-2022 00:00,40352.63533
15-03-2022 00:00,40199.93933
16-03-2022 00:00,40114.44067
17-03-2022 00:00,40021.63833
18-03-2022 00:00,39973.37633
19-03-2022 00:00,39853.729
20-03-2022 00:00,39781.961
21-03-2022 00:00,39837.182
22-03-2022 00:00,39878.39133
